Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Thymus_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.10
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: thymus
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
CDK1_8264	54237	cdk1	0.00884433962264151	0.14040117968195423	1.3862134	1.3862134	1.330364	1.3862134	1.2272816	1.3026463	1.2711924	1.2651086	1.2929293	1.1697526	1.3731201	0.011696443	0.12211398	0.10306698	0.031185754	0.02457753	0.07421804	0.02866914	0.2145721	0.009790286			
CEBPB_8282	24253	cebpb	0.017825311942959002	0.18842070557204088	-1.1167889	1.1167889	-1.0003849	-1.1018159	-1.1114179	-1.073879	-1.0629355	-1.051738	-1.0525867	-1.0838232	-1.1167889	0.98988426	0.14314812	0.0024325822	0.014492446	0.14071648	0.41070145	0.065093406	0.01742167	0.018369822			
CEBPZ_8284	362686	cebpz	0.0021894904458598726	0.09278729717889586	1.1725371	1.1725371	1.0901027	1.0728291	1.0510057	1.054863	1.0388159	1.0422401	-1.0156254	1.0105215	1.1725371	0.03968661	0.33206564	0.27380723	0.07003655	0.18692887	0.4115294	0.7670814	0.7791258	0.004534055			
CENPQ_8290	363198	cenpq	0.028846153846153848	0.2516025641025641	-1.0907817	1.0907817	-1.0778028	-1.056969	-1.0497334	-1.033414	-1.0079436	-1.050344	1.0019186	-1.0065095	-1.0907817	0.12296745	0.09268461	0.07988181	0.29658207	0.78095293	0.2336775	0.9125235	0.7065615	0.06066322			
CENPW_32846	689399	cenpw	0.001408167370750352	0.08175445623873423	-1.0529647	1.0529647	-1.0054181	1.0055985	-1.0019938	-1.0072964	1.0215137	-1.0018665	1.0102895	1.0046133	-1.0529647	0.67046124	0.7728571	0.8868701	0.43136266	0.07477388	0.8825679	0.39601386	0.580575	0.03178398			
CFHR1_8295	289057	cfhr1	0.03470283207020343	0.2759154243037321	-2.2970579	2.2970579	-1.34533	1.12409	1.2150388	-2.2970579	-1.0127097	1.0202448	1.5041249	-1.3304231	1.4939082	0.40855947	0.6807894	0.5123391	0.082980186	0.9624744	0.9478186	0.06541339	0.41801608	0.08408423			
CGRRF1_8300	116679	cgrrf1	0.023508137432188065	0.22316329534463183	-1.0491525	1.0491525	-1.0195644	-1.0061994	-1.0260209	-1.0037057	-1.0118974	-1.0018445	1.0247746	-1.0461515	-1.0491525	0.3795912	0.4768075	0.31777632	0.63912916	0.1552848	0.89900607	0.056779772	0.054174375	0.06751017			
CHEK2_8305	114212	chek2	0.022222222222222223	0.21394129979035642	1.142299	1.142299	1.0913197	1.1225947	1.1201876	1.0910227	1.031452	1.1063046	1.0651675	1.0112507	1.142299	0.08723566	0.26891512	0.03603036	0.1338141	0.49700066	0.028080389	0.17390676	0.7837894	0.008847336			
CIAPIN1_8319	307649	ciapin1	0.01446364001607071	0.1742777754699825	1.3746209	1.3746209	1.155325	1.3746209	1.109538	1.0640488	1.178198	1.012251	1.0405809	1.090307	1.3364654	0.2705599	0.04920259	0.39111194	0.63397634	0.14279372	0.9154551	0.7396427	0.44131634	0.032850847			
CIB1_33206	81823	cib1	0.005712034666141422	0.12609610735159046	-1.0808953	1.0808953	-1.020638	-1.027623	-1.0229483	-1.0227495	1.001151	-1.0259562	-1.015704	-1.001708	-1.0808953	0.41467258	0.3517731	0.4496666	0.38719392	0.94860494	0.30730632	0.47923464	0.930072	0.015852857			
