Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Lung
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ACO1_7966	6.686981	7.575256	8.115771	7.141431	6.1339197	6.4081936	6.31749	7.1772523	6.9631763	6.478342	6.50723	6.129277	6.0673885	6.764327	6.7433877	6.6295347	7.406255	7.8028483	7.127961	6.938794	7.8145733	7.711664	6.8617477	6.367726	7.802028	6.8987255	6.65469	7.2805157	7.3681493	6.88748	8.023245	7.691987	7.7457485	5.9494762	6.7060905	6.3512263	7.6713495	6.702129	6.534599	7.3769493	7.0746493	6.0772896	6.3500786	6.727951	6.4023814	7.763822	7.618142	7.6827483	6.911466	7.642906	6.3020825
ACO2_7967	5.093174	5.2212205	6.652901	5.1822734	4.884611	5.6724405	4.838175	5.8276963	5.85301	5.7177	5.1265574	5.09254	5.391429	5.1718535	5.1341076	5.683319	4.851037	6.059979	4.9200873	4.973648	5.9045873	6.3468423	5.986186	5.856794	5.85718	5.686063	4.906327	5.328523	4.813011	5.318336	6.111148	5.7714825	6.4228563	5.6203847	5.3727865	5.6303496	5.945744	5.7385664	5.3222704	5.591131	5.953083	5.468567	5.555927	5.2200785	5.4679465	5.774188	6.037421	5.9671535	5.4947243	5.794537	5.577255
ACOT1_7968	2.3806188	2.1741493	2.89291	2.5218198	1.7777706	1.9913985	3.6283767	2.5488694	0.0	4.207375	2.8705208	0.0	2.7768304	2.398943	2.0117261	2.1541731	1.975524	2.5528476	1.3226877	2.7940552	1.6576558	2.498472	3.019299	2.675224	2.5812747	2.7052543	3.4894345	3.9370584	1.732796	3.3263187	3.0041878	5.6026454	2.7899535	1.3120061	2.9314425	2.454194	3.473307	1.4131908	2.3522675	1.6838161	4.3970923	1.3801445	3.5392146	0.0	1.6779296	1.2825747	1.942291	1.9750421	4.705822	5.8872185	2.2914128
ACOT12_32718	0.0	0.6649675	1.0505216	1.635999	0.68458515	1.1312529	4.2373953	1.4953922	2.6056395	3.1606684	0.0	3.4750795	3.2268276	0.0	1.7112672	2.7052736	1.6778612	0.8570405	2.2489269	0.8007204	0.7810196	2.6588457	3.389151	1.3444031	0.7757649	2.3057055	2.3958805	2.6495397	2.994786	2.8583534	0.0	4.9304347	1.2108148	2.939771	3.6928413	1.6960093	0.0	1.4131908	2.8398373	3.1880014	1.9903294	0.84917635	3.3007886	0.0	0.0	2.1959202	1.6472528	0.7931462	3.5671604	2.2273552	2.774635
ACOT2_7969	4.2785983	3.0047514	3.5500124	3.7138228	3.3375108	1.9913985	2.9059668	3.2464948	3.4819736	4.4882956	2.8705208	4.1342154	3.4639475	3.6968467	3.1012485	4.1346684	2.7793481	3.4243615	3.7825334	4.289043	4.0706973	3.6959236	4.3186035	3.242737	3.6315188	3.4924479	4.4237337	3.5297387	3.1285758	3.3263187	3.437302	3.7076976	3.95061	2.939771	3.2656388	3.6088297	3.3763494	2.3668506	1.6102895	3.678232	3.9186788	2.724717	4.6384945	3.5629644	2.6164982	3.366354	3.5437222	3.7504392	4.7789335	4.4828444	3.2387762
ACOT3_7970	3.152062	2.7772253	3.73549	3.066622	2.2151935	3.2224061	0.85750324	3.2464948	2.6056395	3.0264807	3.7683518	1.505887	1.4181436	1.8336995	2.472219	2.3621504	3.058624	3.7191596	2.6449196	2.9406812	2.9001622	2.8031619	4.13625	3.1203945	2.889255	3.1518886	3.6933587	2.6495397	2.4975936	2.5515323	3.437302	2.5089772	3.151875	3.4112399	3.0516508	3.517716	3.3763494	3.456745	1.2441283	2.4397647	3.6028593	3.8703673	3.164961	1.5405886	2.9258196	2.5884557	3.5437222	3.493121	3.7234974	2.6219573	1.8467548
ACOX1_7973	6.664717	7.226174	7.7748213	6.8696427	7.4634614	6.9704638	6.996122	7.0377216	6.913313	7.0186734	6.7486863	7.1093545	7.365418	7.097173	6.9870334	7.236294	7.2551966	7.797597	7.268044	7.0069594	7.3390417	7.37307	7.42941	6.92874	7.706893	6.6607795	7.056935	7.23794	7.447116	7.062625	7.590474	8.043088	7.431006	6.8844314	7.138181	6.571092	7.655941	7.048729	7.003311	7.574104	7.4134316	7.0492105	7.4907446	7.2401714	7.1020327	7.5040135	7.6542234	7.743213	7.0359983	7.695116	7.1218963
ACSS1_32386	6.8137994	7.355598	8.59092	7.0753155	6.3956084	6.5885515	6.5848465	6.919828	7.263019	7.0449433	6.7057033	6.6490345	6.5258584	7.418795	7.1344433	6.5360556	6.886409	7.952106	6.964152	6.5845456	7.9380345	7.4572964	7.7323546	7.2682424	8.031371	7.229652	7.0843854	7.3013415	7.3059516	7.353576	8.47726	7.756017	8.7445965	6.7812366	7.528382	6.9908257	8.315723	6.855051	6.9484076	6.7443333	7.5398297	6.6835136	6.99571	7.1589847	6.956316	7.929834	7.918609	8.311026	6.673373	8.21477	6.4593697
ACSS2_7977	4.354745	4.259386	5.0269203	3.6546817	3.7164197	4.765044	4.5688343	3.959331	5.3817296	5.5807605	4.135238	3.589758	3.5693321	5.1017547	4.8605633	4.2438135	4.4282074	4.3555555	4.3049827	3.412188	4.8225827	5.178464	5.159828	4.8433065	4.6559997	4.372984	5.3298206	5.826823	4.9992266	5.5064545	4.509195	6.767122	4.228682	3.9844668	5.906787	3.316166	4.2514896	3.34311	4.232185	4.5768394	5.6020656	2.724717	4.0822062	3.966862	4.098539	4.781646	4.525721	4.1582994	4.9783607	4.8936257	4.106904
ACTA1_7978	1.8598704	5.3918805	2.9933684	1.8619688	3.2481334	1.1312529	1.3916576	3.3358605	2.3892484	2.8785198	1.3664328	2.2265038	2.9429193	3.3789506	3.1012485	2.8504078	1.6778612	1.3910185	2.80844	1.9883695	2.1990361	0.0	0.83975685	3.4601047	1.9442551	5.189699	2.6124887	3.3280168	1.732796	4.3041906	2.872027	1.8801905	2.3056931	3.6851468	3.0516508	2.454194	1.9588484	0.0	2.3522675	0.7970867	2.4488785	2.8898196	3.5392146	3.5629644	2.779433	2.7508016	2.1871164	2.7787962	3.2954187	3.2984521	3.025291
ACTA2_33040	8.176026	8.77608	8.847303	7.708516	8.245103	8.7123785	8.448343	9.243784	8.530521	8.039471	7.888495	8.215479	8.193951	8.439654	8.481136	8.685397	8.347833	8.670552	8.904392	9.002702	9.172709	8.186594	7.800378	8.263556	8.519708	9.146143	8.162994	8.2933	7.6554513	7.6859574	8.448544	7.585249	9.048494	8.540934	8.8109	8.431367	8.476399	8.105579	8.309168	8.592537	7.462898	8.731247	8.635477	8.601971	8.271256	8.528301	8.614466	9.201499	7.838634	10.189447	7.9449005
ACTC1_32706	4.7982297	5.8529143	5.4893637	2.648481	5.6316624	4.9148984	5.563106	5.27057	6.6707907	5.429446	4.317584	3.7949302	5.5797715	4.5376477	6.032182	5.4297442	6.2851	3.5294642	5.6807213	5.072394	5.0271177	7.3845882	4.13625	4.9902754	4.4363503	5.189699	4.0309305	6.181596	2.994786	5.9409833	3.8423944	3.976987	4.838364	6.14353	7.010494	5.2032228	5.7467737	4.270216	3.4938593	3.678232	5.196895	4.735907	4.475792	4.5006	6.20143	7.5761924	7.132521	5.5371923	4.3695197	5.349566	5.577255
ACTG2_32972	5.280526	5.078517	4.4521956	3.1546319	4.942737	4.525069	5.065055	5.27057	5.4392385	4.9253836	3.7683518	4.207887	5.0709076	5.478858	4.4743395	4.4400754	3.9001784	3.96382	4.8467116	4.830505	4.6681037	4.677122	4.671418	4.8041	3.712118	6.1539035	4.906327	5.7481046	2.8473094	4.19899	3.7699685	1.8801905	4.5041294	5.5073495	5.645373	5.794611	4.0773573	4.602028	4.990817	4.745001	3.8459663	5.794419	5.7102923	4.7597666	5.5149717	4.7435737	4.8078685	5.3683043	4.9783607	6.318512	4.9172
ACTN1_7980	6.664717	6.374597	6.675757	6.5588827	6.2068925	6.4480824	6.881586	7.282159	7.103191	7.2010546	6.5684915	6.1850677	6.4588666	6.764327	6.722824	7.007778	7.2482557	7.441375	7.0727186	6.885469	6.7743926	6.8153296	6.900411	7.100386	7.1640973	6.4685645	7.247069	6.3773694	6.480606	6.2873693	6.8069353	6.6564403	6.4228563	7.0946813	6.7775664	6.7618394	7.2467184	6.5180225	6.5662007	6.912762	6.7553945	6.4389167	6.5128007	6.9668636	6.831841	6.9315114	7.4108133	6.96407	6.2534513	7.8037305	6.3487983
