Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Brain-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.05
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: brain
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
F2R_32746	25439	f2r	0.026393539491825883	0.8718624072264416	1.3924907	1.3924907	1.1807063	1.2236547	1.3381685	1.166291	1.3924907	1.2650899	1.2173758	1.3677163	1.2343631	0.041450407	0.0089160185	2.1783798E-4	0.28749564	5.890465E-5	0.096400015	0.32381192	7.511006E-5	0.21468368			
FAH_8595	29383	fah	0.0037743345252284465	0.5975061886861649	1.1484362	1.1484362	1.0515239	1.0850087	1.0540824	1.0680763	1.0673805	1.0449618	1.0488265	1.0259333	1.1484362	0.21228176	0.092056	0.31020486	0.19789514	0.15922089	0.3989263	0.30278206	0.61888075	0.017771574			
FKBP5_8650	361810	fkbp5	0.013997200559888023	0.7753306656077221	1.1183257	1.1183257	1.0220678	1.0287004	1.0557692	1.0038248	1.0796202	1.0033718	-1.0005094	1.0132403	1.1183257	0.50554514	0.54718363	0.0857404	0.9344065	0.15153186	0.9269111	0.98983836	0.73230046	0.029919285			
FOSL1_8659	25445	fosl1	0.036300953153518556	0.8718624072264416	-3.134613	3.134613	1.0545579	-1.17215	-1.030936	-1.1435354	-1.2451851	-1.0639015	1.1981453	1.1170008	-3.134613	0.7235705	0.5807506	0.9262441	0.651062	0.51820904	0.7619727	0.48530754	0.5538602	6.5938185E-4	100.0	300.0	
FOXJ3_8661	313554	foxj3	0.03718847352024922	0.8718624072264416	1.0491438	1.0491438	1.0184696	-1.0027719	1.046592	1.0117166	1.016099	1.0371311	1.002284	1.0471988	1.0491438	0.31658882	0.921925	0.02858826	0.55974936	0.4195931	0.1297885	0.90503734	0.022913015	0.16203505			
FOXO4_8663	302415	foxo4	0.019849682019656967	0.8718624072264416	1.0970716	1.0970716	1.0039146	1.0495117	1.0387368	1.0501413	1.0227973	1.0677084	1.0428276	1.0886322	1.0970716	0.9216068	0.34598988	0.3522457	0.23810616	0.60744625	0.13257112	0.3295654	0.08088127	0.029733393			
GAR1_8683	499709	gar1	0.034262948207171316	0.8718624072264416	1.6067556	1.6067556	-1.0373758	-1.0791923	-1.1414716	1.1373966	1.0576148	1.6067556	1.1977875	1.231926	1.140526	0.7563728	0.49147698	0.108705096	0.2812051	0.55389136	5.2833563E-4	0.3973701	0.015927188	0.323148			
GCDH_8693	364975	gcdh	0.02427951046190288	0.8718624072264416	1.0497211	1.0497211	-1.0037606	1.0024191	1.0118786	1.002403	1.0113666	1.005944	-1.0119472	1.0305347	1.0497211	0.7807544	0.8480815	0.47069097	0.88467884	0.4351253	0.79934555	0.4974448	0.18522604	0.076907784			
GPATCH4_8740	295228	gpatch4	2.032520325203252E-4	0.07061972410953263	1.2260032	1.2260032	1.038206	1.0375644	1.045141	1.0475771	1.07656	1.0407815	1.0038311	1.020585	1.2260032	0.116603635	0.15227363	0.2745995	0.065537445	0.008705829	0.33103523	0.90737677	0.4986409	0.012167578			
GPD1_32517	60666	gpd1	2.0092425155716296E-4	0.07061972410953263	1.3203905	1.3203905	1.1098506	1.0908325	1.1047715	1.1325467	1.1121236	1.1034456	1.0659162	1.0264314	1.3203905	0.018320566	0.042641632	0.07943168	0.0027597898	8.2395255E-4	0.07520625	0.08128866	0.5688216	0.0019636217			
