Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Ovary
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
ACD_7963	5.5728545	5.4052353	5.2999907	4.940928	5.384055	5.481088	5.525113	5.142856	5.4526567	5.621344	5.9809036	5.440964	5.5227256	5.5026875	5.4127254	5.0681357	5.431245	5.5131135	5.513749	5.829317	5.4543433	5.078453	5.0873747	5.7178874	5.4572477	5.3614783	5.327772	4.7152443	5.35838	4.7839184	6.0258894	5.924116	5.242944	5.424665	5.699727	5.593899	5.2366486	4.999302	4.6846557	6.035508	5.477615	5.414024	5.171642	5.3909364	5.1514645	5.8826365	5.6234694	5.2315755	4.9953785	5.4079695	5.3497915
Ace_34123	5.8076773	6.133978	4.9620204	5.8457284	5.550136	5.264069	5.398764	5.726504	5.599425	5.836978	6.4819045	5.6352334	5.5608826	5.7387915	5.470264	6.520708	5.204898	6.303632	5.309715	5.4523854	5.7490025	4.746976	5.4007907	5.7621317	6.25046	5.934696	6.6000752	5.6542377	5.7433057	5.156882	4.8327203	6.443578	5.086954	5.4926248	6.2754073	6.333785	5.285104	3.8846855	5.0706267	6.0864487	6.823614	5.769055	5.7506714	5.412775	5.5893307	5.0375133	5.403335	4.931401	6.4779086	5.2647643	5.6678743
ACLY_7965	8.638018	8.875543	8.7313385	8.92107	8.818727	8.4448185	8.434421	8.215919	8.055121	8.061548	8.7162	8.963337	8.017558	9.067503	8.613098	8.229913	8.564643	9.018429	8.495919	8.420764	8.638087	8.439495	8.046299	8.4718895	9.000077	8.458165	8.653669	9.435968	8.337969	8.305308	8.415097	8.758942	8.473541	9.05776	8.287757	8.306194	8.736871	7.866561	8.827572	8.787404	8.24824	8.241118	8.183878	8.814672	8.571746	9.192238	8.621419	8.785106	8.46365	8.820613	8.522417
ACMSD_32377	0.0	2.0645049	0.0	2.874396	1.6706498	0.69936734	0.0	2.205947	1.4639635	0.0	0.0	0.0	1.1584315	1.1054553	1.108029	0.0	1.4376171	0.0	0.0	1.1299356	0.6968336	1.1770183	1.1821524	1.7902299	1.479693	0.65354145	0.7063324	1.4661814	0.0	1.0590956	0.0	1.0087844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2717144	1.1550937	1.9906101	0.0	0.0	0.0	0.0	0.61978775	1.8344835	1.0093743	2.8561914	1.7164246
ACO1_7966	6.794741	7.172234	6.444892	7.1672697	6.4289393	7.0978928	7.026317	6.7128153	6.7349687	6.5132875	6.9805746	6.5474176	6.998997	6.7791624	6.673939	6.608702	7.140737	7.106853	6.713389	6.5222983	7.1302238	6.0705442	6.7064724	6.692732	6.89563	6.943151	6.8885856	7.005806	6.3084297	6.0565686	6.4656196	6.831142	6.6055055	6.7298226	7.0898323	7.3079143	6.7705708	6.518195	6.786417	6.91035	6.3244634	6.640078	6.4557023	7.0604734	6.90164	7.042028	7.5319324	6.8319182	6.931423	6.700116	6.730173
ACO2_7967	5.7394075	5.74195	5.670027	5.663612	5.852325	5.5971804	6.139652	5.932604	5.2228613	5.8523035	6.2622	6.1692405	5.337307	6.309493	5.9052305	5.0905366	5.2487817	5.53534	5.590924	5.7518864	5.861131	5.943272	5.216098	5.525949	6.018008	5.5497303	5.822355	6.2296195	5.727127	5.7718706	6.2392926	5.7451077	5.903544	5.980748	5.659878	6.265402	5.9126897	5.2591286	5.2803807	5.589447	4.409072	6.0144596	5.689788	5.775044	5.5176415	5.5031176	6.077766	5.2560043	5.4612045	5.467322	5.6935945
ACOT1_7968	3.1319964	3.0288403	1.9040401	3.4253275	2.6076305	3.817587	1.837643	2.9589956	3.9685915	0.0	2.9632113	3.8986797	4.1402855	3.1797776	3.5109096	1.0355684	2.3181834	5.490539	2.4644146	1.9895838	3.4508936	2.257997	3.9630332	3.0662787	4.888612	3.7662292	2.2599971	3.1109006	2.3733876	1.6632307	4.178637	3.771113	3.800794	4.0018	2.391729	2.9719203	4.776166	3.7680066	4.2784567	3.5075252	1.1550937	3.7539265	1.0789323	3.8519928	4.8111463	2.7411969	3.4140928	5.560589	4.9722853	4.884126	3.342674
ACOT2_7969	4.7137527	4.589527	4.910327	5.172922	4.803786	4.6266794	3.014213	2.205947	5.3935266	3.8509974	2.9632113	4.623825	4.904746	3.3523831	3.5822358	5.277879	5.0146556	5.490539	4.253696	3.4727688	4.0464544	3.2011764	5.1912556	4.4795365	5.026968	4.3961506	2.9906209	4.02489	5.131337	4.3579216	3.4298284	4.4761558	4.523061	4.6926866	3.6238232	4.3864694	4.5958333	4.043717	4.770553	4.3456283	3.7300832	3.988253	4.9032445	5.4969673	5.2955976	4.128468	4.09588	5.1557045	5.5574474	4.2005105	3.687989
ACOT3_7970	2.2878375	2.0645049	3.0233893	2.6687229	1.2961458	3.4568956	2.6202374	2.4639404	2.649835	3.9107742	3.4211903	2.9923038	2.840107	3.3523831	2.878785	0.0	2.8610315	3.1373696	3.3978267	2.7954445	3.5305748	2.8689728	2.2652724	2.5649633	1.479693	2.9775178	3.2034302	3.8595262	1.48135	2.260835	2.3997881	2.4737782	2.900768	2.851032	2.882015	1.8029712	2.8951693	2.3266845	1.3660771	3.0130005	2.0241315	2.1918342	2.1168358	3.2203243	1.5196176	2.8589501	3.7948918	3.6494966	3.1039648	2.666629	3.342674
ACOT4_7971	1.8435112	1.3737607	2.1013534	2.4287744	1.2961458	1.8053627	1.837643	0.0	1.7419498	1.7831694	0.0	1.9195211	0.0	1.9557477	0.0	0.6087719	0.6503758	1.2738342	1.3255839	0.6728732	1.1647133	0.70535415	1.1821524	0.0	0.67472994	1.1016835	0.0	0.0	0.6756951	1.0590956	0.0	0.5908247	1.8428966	1.3526403	1.9380623	1.51956	1.8382356	0.0	1.036884	0.0	0.0	1.7566988	1.9188366	1.8318726	0.0	2.1413505	0.61978775	2.0731506	1.3331699	2.7645214	2.478304
ACOX1_7973	6.769288	6.2440925	6.709707	6.922748	6.7153983	6.9958224	6.072258	6.4771223	6.7190013	6.2379336	7.0562224	6.9314394	6.5644255	6.6277785	7.0205836	6.783873	6.879746	7.0228233	6.870222	6.343817	6.8408737	6.352436	6.4790683	6.1759696	6.87379	6.6944823	6.646295	6.845498	6.3084297	5.4350076	6.7209253	6.6466966	6.3319798	6.750789	6.7152424	6.747133	6.348576	6.65591	6.429534	6.2739277	6.2795963	6.587509	6.1959515	7.1477075	6.6765623	6.722834	6.6708694	6.0952697	6.8450727	6.3520412	6.082305
ACOX2_32902	2.082713	0.0	0.0	0.98134255	1.6706498	1.8053627	2.281367	2.205947	0.66559047	0.0	1.9685245	1.9195211	0.0	0.6561155	0.65787303	0.0	0.0	0.0	0.5869947	1.1299356	3.6060843	0.0	0.0	1.4000642	0.0	0.0	1.5335398	1.7443887	0.0	1.0590956	1.5023866	1.5966632	0.0	0.0	1.643362	0.0	0.0	0.6542406	0.0	1.7473754	0.69018817	1.4773821	0.63806087	0.0	1.2632525	3.252381	0.0	0.7151108	2.3368979	0.91958654	2.8877957
ACSL6_32382	2.7707982	2.0645049	2.1013534	3.288169	2.4241586	2.0422812	0.71682763	2.205947	1.4639635	3.1596127	4.6599607	2.7150035	2.409394	2.1554265	3.184053	1.6321948	1.7129513	1.6448023	2.5900376	0.6728732	2.577138	2.257997	1.5379053	0.0	2.5286672	1.1016835	2.438707	2.1781704	1.9952425	1.0590956	1.5023866	3.6010265	0.7196862	2.038289	2.182655	3.45385	2.6209264	1.1027083	0.6096563	2.3905163	1.1550937	2.5256882	1.4161415	2.275002	0.55266	0.0	1.6537921	1.8344835	0.59121877	1.6910574	2.3547843
ACSM3_7976	7.636951	3.1630576	3.1175745	5.783293	3.8177743	8.323648	7.1814837	7.599058	2.5083623	7.6261916	9.04542	5.975474	1.5100602	5.7387915	7.2677703	3.232564	3.3381722	1.9396279	1.5890241	6.3225513	6.4377966	5.2071533	2.8769104	7.2460303	7.200585	1.4431157	7.6067147	6.68997	3.694582	1.6632307	9.257474	5.7451077	4.6020327	6.4680977	3.780686	1.8029712	4.5958333	0.0	0.0	5.2749906	0.69018817	4.82585	6.173891	4.8338957	4.3318696	5.3705955	4.523726	3.120901	5.3219986	4.568951	7.16191
