Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Heart-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:31.50
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: heart
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
CCDC86_8215	293738	ccdc86	0.044873056484943906	0.24893596955138372	1.2479119	1.2479119	1.0402511	1.0519918	1.0445931	1.1221933	1.1693783	1.0385861	1.0622317	1.2479119	1.1677493	0.7028857	0.5679555	0.6138731	0.23961565	0.11077879	0.6575191	0.52955216	0.04991156	0.15022966			
CCL22_33187	117551	ccl22	0.0021890547263681594	0.07557050380335868	1.9244791	1.9244791	-1.1005378	-1.4541374	1.0775491	-1.0297607	-1.3714188	1.202425	1.4036827	-1.0281318	1.9244791	0.738196	0.36995405	0.65208334	0.8508668	0.3093411	0.57279754	0.101954974	0.93621445	0.0050032223			
CCNA2_8221	114494	ccna2	0.026950925181013677	0.20649017397051744	1.3743763	1.3743763	-1.0203284	-1.0551639	1.040665	1.0292349	1.0075179	1.1325077	1.3088835	-1.0460782	1.3743763	0.9128217	0.37274814	0.7676732	0.65212655	0.9309432	0.35053077	0.03794003	0.81050193	0.118481025			
CCNB2_8223	100364016;363088	ccnb2-ps2;ccnb2	0.003783353245718837	0.08860785272075594	1.3452703	1.3452703	-1.0439295	-1.1111056	-1.0003078	-1.032471	-1.0437492	1.2045901	1.2755761	-1.0359967	1.3452703	0.47959656	0.49202082	0.99762803	0.7010246	0.580198	0.063899755	0.02052714	0.77145827	0.03327995			
CCNG1_32302	25405	ccng1	2.0742584526031943E-4	0.047688463140358184	-1.8052485	1.8052485	-1.0463285	-1.0384996	-1.0128926	1.0956017	1.0457569	-1.0000436	1.0078076	1.0476803	-1.8052485	0.42974833	0.36347649	0.75398004	0.048909903	0.4682322	0.99872744	0.9083525	0.37056634	0.11883857			
CCNH_8229	84389	ccnh	0.005363528009535161	0.10211582926560724	-1.0663354	1.0663354	1.0089229	1.0007838	1.0159725	1.009414	-1.0102599	-1.0156176	-1.0036291	1.0221218	-1.0663354	0.63820773	0.9661797	0.2843671	0.42347905	0.58247614	0.24958888	0.77063483	0.41508374	0.029415974			
CCR7_32868	287673	ccr7	0.008006405124099279	0.11684302726053841	1.8698188	1.8698188	-1.0017133	1.1917526	1.0082558	-1.0668633	1.3858539	1.4847256	1.8698188	-1.1576521	1.8323442	0.99559826	0.60872746	0.9799479	0.7954219	0.12943316	0.022802418	0.0021502986	0.5587249	0.002916565			
CD320_8242	362851	cd320	0.0036749693752552064	0.08705875726897679	-1.1341771	1.1341771	1.046605	-1.0142443	-1.0388441	-1.0306185	1.0463569	-1.0191352	-1.0202379	1.0306215	-1.1341771	0.23859303	0.6936236	0.31866696	0.32782632	0.111799635	0.4324412	0.534192	0.47881484	0.09812813			
CD3D_33153	25710	cd3d	0.0018134193028410237	0.0734881620233907	1.4658997	1.4658997	-1.0067918	-1.0600789	1.0446413	-1.0018908	-1.0561681	1.270052	1.4056245	-1.0416412	1.4658997	0.955364	0.6468293	0.7707565	0.9815347	0.5187034	0.072375074	0.002415326	0.74482685	0.011320067			
CD3G_8245	300678	cd3g	0.006027727546714889	0.10543986033439169	1.4749935	1.4749935	-1.079299	-1.0438377	-1.0552654	1.0307564	1.0578098	1.2778399	1.4749935	-1.0917175	1.4375043	0.6239216	0.767806	0.6962832	0.7888237	0.6857312	0.09546672	0.0029610593	0.673866	0.019463407			
CD48_8249	245962	cd48	0.0030168946098149637	0.07971563834395692	-1.0661143	1.0661143	-1.0253031	1.0020118	-1.0154881	1.001252	-1.0337447	-1.0430856	1.0003053	-1.0016826	-1.0661143	0.21129403	0.90060484	0.3052007	0.91261065	0.14592688	0.034333594	0.98156095	0.9230526	3.638679E-5			
CD8A_32613	24930	cd8a	2.0387359836901122E-4	0.047688463140358184	1.7946861	1.7946861	1.1364894	1.1164443	1.0889677	1.019734	1.0002387	1.5950197	1.5460061	1.0499766	1.7946861	0.41518092	0.5286825	0.5809321	0.88827735	0.99846375	0.011595865	0.072752394	0.8032753	2.604241E-4			
CDC20_8255	64515	cdc20	0.008704253214638972	0.12005825242718447	1.3507853	1.3507853	-1.0192097	-1.1486607	1.0463374	-1.2116449	-1.1008639	1.1101964	1.1758335	-1.0131254	1.3507853	0.84814453	0.33657432	0.6539596	0.30419117	0.40612075	0.4151285	0.20716824	0.89778525	0.0052371807			
