Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Thymus
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101
ACMSD_32377	2.3945668	4.7731214	2.1000137	3.5012972	2.3186743	1.1746458	2.9003832	2.5657415	4.077033	3.8446915	2.310589	2.9005527	3.6895404	2.6876104	3.3340492	3.034453	3.0131235	0.80996424	0.7944989	3.991122	1.7043641	2.6169958	2.0930786	3.3215177	2.0811713	1.555824	1.0387852	2.4549835	2.9513988	1.8167635	5.370401	0.74573284	4.159139	1.3706044	3.4107516	1.7256354	1.7548914	1.1305459	3.5671792	2.7553277	3.5643456	2.2954214	2.2190056	4.278651	2.5806196	1.9511201	3.975409	3.4171433	3.255345	3.5657897
ACO1_7966	4.415806	5.713954	4.1996613	4.0431547	4.8136992	4.9624095	4.400347	4.638075	6.1012325	6.4684877	4.7764044	4.245209	5.0035057	5.643339	5.1930013	4.595657	5.0509577	5.028262	4.328861	6.224274	5.642176	5.788718	4.459393	5.523116	5.191664	5.217759	4.5968714	4.840241	4.4951806	4.5671864	6.3528566	4.2170343	6.034095	4.7637043	5.9315324	5.1849923	4.3888836	4.631588	6.3284507	4.823866	4.6999784	5.2281933	4.69259	6.6019297	6.2696486	5.23078	5.252422	5.54934	5.407	5.6294093
ACO2_7967	4.877153	4.741181	4.999684	4.709537	4.8933086	4.7086005	4.1892967	4.7173147	5.033647	5.950003	5.059485	4.5407495	4.6704745	5.0131993	4.37036	4.816337	5.3299694	4.005702	4.698893	5.0131884	5.300142	4.923207	4.459393	4.575248	4.7812734	4.911703	4.4653177	4.983418	4.65798	4.813585	5.5955434	5.1777163	5.6048	4.676929	4.9023185	4.7213635	4.7866015	4.631588	4.9469986	4.585458	4.7896147	4.8586926	4.472696	5.962623	5.687379	4.8908095	5.420618	5.084049	5.472568	5.452718
ACOT2_7969	2.9305205	3.2298946	3.007888	3.017507	3.5072508	2.735129	3.4670975	3.1263714	3.4147565	4.3957872	2.7952027	2.4090967	2.3124866	3.0846384	2.6551723	1.7645935	3.2263734	2.464409	2.7815273	2.7992399	2.9591317	2.6169958	2.5024672	3.5085979	3.01958	3.1309414	2.9734697	2.6392894	2.5146248	2.0543709	4.046638	2.5204928	3.67048	3.2812293	3.1941996	3.5566993	3.9749932	3.1261802	3.0809016	2.592888	3.5643456	3.1404426	3.3929882	3.4889264	2.5806196	2.1964285	3.1142647	3.4171433	3.0415485	3.8200786
ACOT3_7970	2.9305205	3.13476	2.7301157	1.5537186	2.0672905	1.8134216	2.5919912	2.5657415	2.1543367	4.033168	1.8641647	2.4090967	1.8658886	2.3453512	2.2585654	2.8863719	2.619196	2.464409	2.9279482	1.6938889	2.2524018	2.222697	0.95107096	2.365282	1.5552782	1.555824	0.6109348	2.6392894	1.5947855	1.1772481	3.827497	1.8903701	3.8277605	1.3706044	2.7926984	2.0272756	1.9448626	1.1305459	1.8926816	2.2000766	2.1151083	1.2035087	2.2190056	3.4889264	2.5806196	1.2829577	2.5143669	3.017978	2.6463711	2.320273
ACOT4_7971	2.2585368	3.941964	2.6242175	2.4638057	0.0	2.592038	1.2850729	2.5657415	4.0167828	4.3011384	2.310589	2.1993887	3.5335252	1.604508	0.81313956	0.0	1.8367474	2.648966	1.679615	4.0571847	1.7043641	2.222697	2.0930786	2.708565	0.7192284	1.555824	0.6109348	1.3186675	2.1268055	0.0	4.4048615	1.8903701	3.8277605	0.8422905	3.8420541	1.3437897	1.7548914	1.4772232	3.1921537	1.6585646	3.3453424	2.6350496	2.429447	3.8714757	2.8885746	1.2829577	3.2092302	3.7294636	3.4415095	2.972199
ACOX1_7973	5.2973285	5.8247776	5.496383	4.673513	5.3251567	5.2514367	5.5540423	5.1474752	6.026811	6.882174	5.3669763	4.7478437	5.3223834	5.603522	5.8334036	5.176621	5.8150325	5.3809743	5.711859	6.348196	5.3274517	6.0505934	4.880973	5.7253776	5.4902005	5.1924686	4.855201	5.420953	5.778206	5.157443	6.115054	5.122726	6.716014	5.2579927	5.8960614	5.559037	4.736069	5.287668	6.467642	5.7216063	5.442475	5.5624313	5.083278	6.8942566	6.4448795	5.5057187	5.919043	5.931445	5.8302836	5.6784563
ACSS1_32386	5.6361213	6.010414	5.639158	5.2395067	6.0004964	5.1009955	5.0588026	5.689629	6.7269654	8.113895	5.499194	5.8521733	5.6031404	6.244768	6.079351	4.9714017	6.3578897	5.3278575	5.3192987	7.319262	5.5524387	6.230483	5.3784723	5.6871305	5.6472826	5.7028537	5.322519	5.6312957	5.3719044	5.516692	8.002238	6.087585	8.750588	5.9918313	6.7512283	6.0691304	5.320129	4.407357	7.396973	5.798169	5.695338	5.88223	5.3392024	8.454383	8.014794	5.387195	6.742182	6.6953235	5.9578686	6.3976145
ACSS2_7977	2.7393274	4.675097	2.5099256	2.7670586	2.8840072	2.9846914	1.953782	2.727601	4.0167828	4.199842	3.3564253	2.7545786	2.7972367	4.3735714	2.965928	3.034453	2.762792	3.2148783	2.6185498	4.1808734	2.6486163	3.1809173	2.2428248	3.7503493	3.1302085	3.4195497	3.2381716	2.4549835	2.8199723	1.8167635	3.471408	2.957591	4.098675	4.0753517	3.1941996	2.4891615	2.8429837	3.2212443	3.5671792	0.78157586	2.3688471	2.2954214	2.9222558	4.8892865	3.9951131	3.7970502	3.6762302	3.7294636	3.1524036	3.1680856
ACTA1_7978	8.920476	2.5334914	1.9326448	1.1956536	2.3186743	3.7627468	0.7811262	0.0	2.7054522	0.73842394	0.73130727	1.6579639	1.8658886	2.8324366	2.010108	2.3208613	0.0	2.0045633	2.6185498	1.3162525	1.3253298	2.222697	0.5525282	0.0	2.0811713	1.555824	1.0387852	0.80502665	1.8851818	0.0	1.3519496	1.2349008	1.6780286	0.0	2.6294942	2.4891615	0.56071675	1.9904245	3.7957594	0.78157586	1.4147377	0.72377306	0.79172647	1.2410022	1.9436728	0.77962667	2.7848883	3.5817387	2.100327	3.6985297
ACTA2_33040	7.8690147	9.093888	7.5283365	7.7796364	8.190702	7.160712	7.9509106	8.020605	8.1845665	7.524569	7.369602	7.7729845	7.6630273	8.190671	8.131057	7.364997	7.884729	8.06405	8.148593	8.516075	7.7968025	7.9032636	8.037782	7.810859	7.823744	8.273621	7.4598126	7.433385	6.957105	7.366222	7.669666	7.8440285	7.6312356	7.7273073	7.9913816	8.284063	7.7686863	7.276397	7.917675	8.849138	7.189348	8.460072	7.7249894	7.771479	8.349839	8.305342	7.183387	7.7284174	7.664534	8.3994255
ACTC1_32706	0.5588872	4.4564767	1.5252485	0.7183006	0.84619015	1.1746458	1.65783	1.6363695	1.251359	1.2244753	1.2143023	0.7812081	1.577099	1.604508	2.470455	2.3208613	2.075549	2.812569	2.434788	1.6938889	0.0	1.9760416	1.2630109	0.0	0.0	0.71955323	1.6364478	0.0	2.1268055	1.8167635	3.471408	0.74573284	2.222343	0.8422905	1.9871837	0.82300407	1.5360565	1.9904245	3.9302218	1.6585646	0.0	0.0	1.9725381	3.1987708	0.7754377	3.4638333	2.655959	3.9260592	2.4862745	2.972199
ACTN1_7980	6.557764	6.827288	6.532476	6.4073796	6.774703	6.370327	6.593305	6.4621305	7.1549926	7.581053	6.3258386	6.2564406	6.5066433	6.504628	6.858835	6.1726117	6.8986163	5.900797	7.0089736	7.070083	6.1654572	6.6547813	6.327887	6.561204	6.3987074	6.6979523	6.323501	6.537652	6.036852	6.3749394	7.144734	6.601537	7.5087886	6.645468	6.9802003	6.507526	5.497458	6.6225214	7.2695804	6.7470264	6.324457	6.5571017	6.2675185	7.516048	7.4186835	6.252705	7.4102025	7.146852	7.12677	7.2714067
ACVRL1_32420	5.2078176	3.941964	4.6942286	4.3010054	4.968754	4.265432	5.1492043	4.7173147	5.6038527	4.8942914	5.3200665	4.8944674	4.8793592	5.157676	5.2515116	4.6425757	5.1587615	4.9945745	5.446241	5.6489277	4.5600133	5.5385036	4.810747	4.842152	5.0858226	4.747757	4.3581285	5.174621	4.7329717	5.078853	5.103507	5.150483	4.8512716	4.884803	5.4831123	5.2447395	4.177923	4.5606475	5.1535583	4.963396	4.604402	4.9827785	4.472696	4.712986	5.449646	4.8908095	5.516581	4.9698277	5.535285	6.264744
