Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Thyroid_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:29.58
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: thyroid
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
FAIM_8596	140930	faim	0.037388724035608306	0.7930621185611749	1.0612833	1.0612833	-1.0052884	1.0063579	1.0562085	1.0311927	1.0473876	1.0516406	1.0177773	1.0017431	1.0612833	0.89249516	0.77908844	0.049126104	0.18888143	0.035093606	0.016865173	0.29877016	0.95703346	0.0028891242			
FANCD2_32782	312641	fancd2	0.041456799690042616	0.7930621185611749	1.8772525	1.8772525	1.0589674	1.3268285	1.1667438	-1.3962164	-1.052666	1.608134	1.0627899	1.1743206	1.8772525	0.86630684	0.25455227	0.66882104	0.4879171	0.9142417	0.033031203	0.86375684	0.6717346	0.03297658			
FERMT3_32542	309186	fermt3	7.869368483179224E-4	0.3427624872579001	3.95574	3.95574	3.229682	2.9338377	2.8355715	-1.0230823	2.799705	1.3098121	3.5034423	3.2473538	3.95574	0.0037371763	0.00307787	0.0767453	0.9769572	0.088967785	0.6741433	0.0013332093	0.019894551	4.493219E-4	0.0	0.01	
FKBP5_8650	361810	fkbp5	0.02822011691191292	0.7577163318082355	1.1690444	1.1690444	1.0577794	1.0031279	1.017787	1.0574496	1.0632426	1.0836775	1.0559107	1.0424948	1.1690444	0.3606975	0.96006125	0.7029837	0.29532441	0.113855004	0.18238953	0.3605647	0.46594262	0.17754966			
FLNA_8651	293860	flna	0.020750988142292492	0.7467403654230002	1.1177831	1.1177831	1.0003257	1.077004	1.0801355	1.0269345	1.0526857	1.1177831	1.0655433	1.0747455	1.0654691	0.9919868	0.009629108	0.036328733	0.39235604	0.2607353	5.962641E-4	0.105273224	0.011769401	0.025153033			
FOSL1_8659	25445	fosl1	0.003768345894486315	0.500994708994709	4.4499745	4.4499745	-1.2262444	2.0719213	2.8120193	4.4499745	1.0466828	2.7377193	3.2606795	4.208113	3.453853	0.81556803	0.36710495	0.08755333	0.0027102462	0.95598817	0.09708882	0.002433878	2.2274614E-4	0.16975212	0.3	1.0	
FUCA1_33043	24375	fuca1	0.002589125672176857	0.500994708994709	1.0909917	1.0909917	1.0015887	1.0300376	1.0428311	1.0278468	1.0172707	1.0654641	1.0381521	1.04862	1.0909917	0.96366	0.20443708	0.08689649	0.27378285	0.56872547	0.040138017	0.10888288	0.105499685	0.0021977015			
GAA_8675	367562	gaa	0.005471956224350205	0.5119847736870279	1.0780311	1.0780311	-1.0429013	-1.0017092	1.0663382	-1.0006521	-1.0405338	1.0348576	1.0106637	-1.0058126	1.0780311	0.3121251	0.9371042	0.03186358	0.9783042	0.38680357	0.19855055	0.6339211	0.81633663	0.031512838			
GADD45A_8678	25112	gadd45a	0.046552395792754185	0.7978140139430463	1.0596079	1.0596079	-1.035677	1.0048485	1.0183803	1.0229089	1.0037109	1.031817	-1.0168273	1.0105424	1.0596079	0.4514782	0.7850252	0.55601645	0.29567757	0.8675463	0.4679528	0.3787161	0.35106754	0.005981296			
GLOD4_8714	363644	glod4	0.04269106155898609	0.7930621185611749	-1.6198624	1.6198624	-1.6198624	-1.0111177	1.0125185	1.0127137	-1.0132675	1.018465	1.0098667	-1.0220733	1.0181648	0.13544095	0.7158348	0.3571492	0.33834922	0.6197263	0.31810954	0.6182448	0.47537836	0.18094043			
GLUL_32832	24957	glul	8.006405124099279E-4	0.3427624872579001	1.1111376	1.1111376	1.0235724	-1.0021971	-1.0139468	1.0464168	1.030199	1.0357416	1.0106994	1.0108356	1.1111376	0.174512	0.9228891	0.6815384	0.09917737	0.09812355	0.13392358	0.52175313	0.63181156	0.015687302			
GLYAT_34103	293779	glyat	9.5565749235474E-4	0.3427624872579001	-7.805919	7.805919	-1.2272764	-1.671182	-1.7838587	-1.1796356	-1.2914941	-1.3483049	-1.582816	-1.7322229	-7.805919	0.38846338	0.064983174	0.046509538	0.708877	0.29391423	0.22276153	0.08788309	0.04721773	0.0036034337	100.0	300.0	
